84%,86%,89%,91%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%
90%,95%,96%,96%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%
90%,94%,94%,95%,96%,96%,96%,97%,97%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%
86%,90%,91%,93%,93%,93%,93%,94%,94%,94%,95%,94%,95%,95%,95%,95%,95%,95%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%
70%,71%,72%,77%,77%,78%,78%,79%,79%,79%,79%,80%,80%,80%,81%,81%,80%,80%,79%,79%,79%,79%,79%,79%,79%,79%,79%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%
91%,95%,96%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
73%,79%,81%,81%,82%,82%,82%,82%,83%,83%,82%,83%,82%,83%,82%,82%,83%,82%,82%,82%,82%,82%,83%,83%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,83%,83%,83%,83%,83%,83%
83%,89%,89%,90%,90%,91%,92%,92%,92%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,95%,96%,96%,96%,96%
65%,71%,71%,73%,72%,73%,73%,73%,73%,72%,73%,73%,73%,73%,74%,74%,73%,73%,74%,73%,73%,73%,74%,73%,73%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%
83%,87%,87%,89%,90%,89%,90%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%
90%,94%,95%,95%,95%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,98%,97%,97%,97%,97%,97%,98%,97%,97%,97%,97%,97%,98%,97%,97%,97%
76%,78%,78%,79%,81%,81%,81%,80%,80%,80%,80%,80%,80%,81%,81%,81%,80%,80%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%
92%,95%,94%,95%,96%,95%,96%,96%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%
76%,79%,79%,79%,79%,80%,80%,80%,81%,80%,80%,80%,81%,80%,80%,80%,80%,80%,81%,81%,81%,81%,81%,81%,80%,80%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,80%,80%,81%,81%,81%,81%,81%,81%,80%,81%,80%,81%,81%
91%,95%,97%,97%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
37%,49%,54%,56%,57%,58%,57%,55%,56%,56%,57%,56%,57%,57%,57%,56%,57%,57%,57%,57%,57%,57%,58%,57%,57%,57%,58%,58%,58%,57%,58%,57%,57%,57%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,57%
89%,92%,93%,93%,92%,92%,92%,93%,92%,92%,92%,93%,93%,93%,93%,93%,94%,93%,93%,93%,93%,93%,94%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%
75%,80%,79%,78%,79%,80%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,82%,81%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%
60%,62%,63%,66%,66%,68%,69%,69%,70%,69%,68%,68%,69%,69%,69%,69%,69%,69%,68%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%
58%,61%,60%,62%,61%,62%,63%,63%,63%,63%,64%,64%,64%,64%,64%,64%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,64%,64%,65%,64%,64%,64%,64%,64%,64%,64%,64%,64%,65%,65%,65%,65%,65%,65%,65%
86%,91%,93%,94%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,97%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%
